['https://c.tenor.com/Mo6dx3S9g6oAAAAd/demonic-cursed.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/546763235051700314/777622354582962186/smooth_af.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/800349854152130570/816504884357759006/sportsbet.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/JiMGsefwbekAAAAC/kys-kill-yourself.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/qE1lbOTU-F4AAAAC/wea-killyourself.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/KA5k7T7gacgAAAAd/industrial-revolution-environmental.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/rd_CpyUldQQAAAAC/troll-troll-face.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/Qt0q9D9j0eoAAAAC/ted-kaczynski-ted.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/654768233827794960/818213943045783626/image0-30.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/FnQS6TtmU-EAAAAd/among-us-sus.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/tcXur4Tv6FcAAAAC/floppa-big-floppa.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/eRr7nTFc7W4AAAAC/leonardo-dicaprio-wolf-of-wall-street.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/806296892203466762/808382192543596624/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/Ip0683gyRNwAAAAC/stupid-love.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/LAvcwWHpL_YAAAAC/salahuddin-saladin.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/p_osOMAB8lEAAAAC/ratio-n64bonny.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/787227153741381655/797803939130245140/LOL.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/787285636713152532/810383205537677322/image0-15.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/bXaqMucdvMYAAAAd/when-the-coping-is-too-strong-cope.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/weB0PGdBKZgAAAAC/cope.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/i3m1kthbePwAAAAC/angry-leonardo-dicaprio.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/629813498284605461/729099670344695908/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/v-c47M_AbfQAAAAC/memri-argument.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/x81Kek93ahkAAAAd/we-do-a-little-trolling.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/Go-E_BQRWZ8AAAAC/dylanntroll.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/eglrsU536t8AAAAC/we-do-a-little-trollin.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/804524644643635264/804851793007738880/Gamestop_wallstreet.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/723jCifvXXoAAAAd/big-floppa-floppa.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795191739416707093/802615284706967572/image0-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/tWAdC9ckVzwAAAAC/get-real-benson.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/zNBK0TSF8pQAAAAd/roundtable-theroundtable.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/p9lk5o_JGhMAAAAC/i-funny-gifcaption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/381916320423215104/804456716740853851/99109e1-2.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/L3IBvJ9OVsMAAAAC/shut-up.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/396090984242479114/804539939597451285/england.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/666557703103053824/804816621754384404/QU5G3M6ZMZ9D.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/724976219757609030/804318595726966794/image0-25.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/aCrnSvhvKG0AAAAC/we-do-a-little-trolling-rubber-johnny.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/KgQHGSSGPrsAAAAd/supermarket-supermarket2.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/1AbHE8hDG-UAAAAd/funny-team-hahaha.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/803441338208485427/803643163448836146/trumppard.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/751877825178370099/799996199657930772/image0_1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/751877825178370099/799996170692067378/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/3f87UxkcPREAAAAC/troll-troll-face.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795191739416707093/803434974375313448/father.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/439519668819066880/676413470912020500/image0-20-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/600659917459816449/692400681931505664/mha.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://images-ext-2.discordapp.net/external/Yrss94ufxPQ8-jYkf7vDi1RFpHANH0Hsrq7uZBpFrnU/https/media.discordapp.net/attachments/439519668819066880/753374556395405460/3d580297d90a002e26dd27264026129d404192ccc3e52a29f9276e18ae8f24e0_1.gif.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/0os7K5moV0AAAAAC/ted-teddy-bear.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/c5hB9oTcLLsAAAAC/squidward-squid-edward.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/ylVBbeKIl64AAAAC/cope-seethe-cope-cope.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/770715042692857936/772853692026191882/image0-2-2.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/RcF158WTRJ4AAAAC/cryaboutit-domino.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/nWnUEov7yIoAAAAC/crying-cat.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/q8ySfT8Y8TIAAAAC/cry-about-it-you-will-never-be-good-enough.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/qGTeI0ljLw8AAAAd/cry-about-it-cry.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/NCsca_exmC0AAAAC/cry-about-it.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/787285636713152532/802737608283127868/image2.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/obX1WwjCMMgAAAAC/nintendo-switch.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/lYjJkq0L5rYAAAAd/fuck-you-vaas.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/ZVjpHHZNqkYAAAAd/vaas-doodoo.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/787285636713152532/801276005339627580/stupid.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/759192495782625292/801079761044635688/image0-36.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/724976219757609030/801173972195737601/image0-9.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/724976219757609030/801173971172851722/image0-4-1-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
